K,ACC
29.3,82.06901323074725
29.4,82.07202261440887
29.5,82.06699774875025
29.6,82.07153752857093
29.7,82.0686293960593
29.8,82.06589199494792
29.9,82.07096844901356
30.0,82.07350711990276
30.1,82.07842031916704
30.2,82.07831172288114
30.3,82.07813396355131
30.4,82.07289805280884
30.5,82.07304768185378
30.6,82.06566805212377
30.7,82.05830866526998
30.8,82.06063014358736
30.9,82.05803754219882
31.0,82.05600901732402
31.1,82.05546926569951
31.2,82.06022317438708
31.3,82.06492313890071
31.4,82.06704588699591
31.5,82.07974013425574
31.6,82.06988471132605
31.7,82.06164496223839
31.8,82.06446120160007
31.9,82.05682744784515
32.0,82.05421961391203
32.1,82.05130518148695
32.2,82.05130518148695
32.3,82.05141377777285
32.4,82.05182574274569
32.5,82.04113041475055
32.6,82.03832457861138
32.7,82.04127521447342
32.8,82.03130313578036
32.9,82.0311253764505
33.0,82.02624765260704
33.1,82.03110780181363
33.2,82.02990973843318
33.3,82.04838694928453
33.4,82.03986247233183
33.5,82.02714583313485
33.6,82.01471306232382
33.7,82.00986728618274
33.8,82.00485999516103
33.9,81.99667344855654
34.0,81.991864887757
34.1,81.9869355755065
34.2,81.98665637928327
34.3,81.97857447114353
34.4,81.96833126937935
34.5,81.9738591216598
34.6,81.96369389866682
34.7,81.95611246133511
34.8,81.95329622197342
34.9,81.95092975307581
35.0,81.95389577390794
35.1,81.95564510255953
35.2,81.95266633641262
35.3,81.95282652110558
35.4,81.96011674491545
35.5,81.9578468550051
35.6,81.95740747408895
35.7,81.96023909842073
35.8,81.95570473807184
35.9,81.95779686865234
36.0,81.95308151916862
36.1,81.95010275302171
36.2,81.95273082983103
36.3,81.95286522633138
36.4,81.95529530093467
36.5,81.95234466507264
36.6,81.94762372966665
36.7,81.9448178935275
36.8,81.93973179283947
36.9,81.9379590060657
37.0,81.93279153035103
37.1,81.9328551360567
37.2,81.94325852251383
37.3,81.94052112140245
37.4,81.94052112140245
37.5,81.93861876745044
37.6,81.93566813158841
37.7,81.92532587728175
37.8,81.9207393669601
37.9,81.91296405731231
38.0,81.91128069013325
38.1,81.90674091031258
38.2,81.91137491335365
38.3,81.90662336043296
38.4,81.90158545189654
38.5,81.89863481603452
38.6,81.90124264996766
38.7,81.90634416420977
38.8,81.90137221714589
38.9,81.89863481603452
39.0,81.89339890529205
39.1,81.88837857139251
39.2,81.89080864599579
39.3,81.88861993642803
39.4,81.88371642439196
39.5,81.89111361673702
39.6,81.89391945287618
39.7,81.8914893782729
39.8,81.89173896888599
39.9,81.876071693827
40.0,81.87106440280526
40.1,81.8813438080064
40.2,81.88082324674768
40.3,81.8854146149754
40.4,81.8857631432302
40.5,81.8857477582601
40.6,81.88626831951883
40.7,81.88626831951883
40.8,81.88615972323295
40.9,81.88874662687957
41.0,81.8906948172163
41.1,81.89839700599902
41.2,81.89645128921752
41.3,81.89402121461423
41.4,81.88639640243116
41.5,81.88639640243116
41.6,81.88420769286341
41.7,81.87661014254545
41.8,81.88410290032044
41.9,81.87602026416454
42.0,81.8763960257004
42.1,81.87866591561074
42.2,81.87114488241333
42.3,81.86396325488937
42.4,81.85063183121326
42.5,81.85267411330746
42.6,81.8419859989853
42.7,81.84004028220377
42.8,81.83761020760049
42.9,81.84453742721111
43.0,81.83971275342533
43.1,81.85000754359656
43.2,81.84982978426672
43.3,81.85020554580261
43.4,81.85492072918625
43.5,81.85502769772143
43.6,81.8543985401768
43.7,81.84408851746095
43.8,81.8443298824965
43.9,81.8443298824965
44.0,81.83901659515438
44.1,81.84175399626575
44.2,81.84685551050788
44.3,81.8470968755434
44.4,81.84482698563305
44.5,81.83996683642647
44.6,81.83777812685872
44.7,81.84020820146202
44.8,81.83510668721989
44.9,81.8328663892451
45.0,81.82714287685089
45.1,81.8168208368364
45.2,81.81455094692606
45.3,81.81229863165262
45.4,81.80630399618727
45.5,81.80382572943239
45.6,81.80110929921334
45.7,81.79835885522415
45.8,81.80039397792581
45.9,81.80593721517636
46.0,81.80039397792581
46.1,81.79758814178663
46.2,81.78710591707922
46.3,81.78977735671802
46.4,81.78959959738818
46.5,81.78202464571328
46.6,81.78186446102032
46.7,81.78170427632737
46.8,81.78187967989035
46.9,81.78430975449363
47.0,81.77856866746252
47.1,81.76822888671109
47.2,81.7634597591535
47.3,81.7577717221801
47.4,81.76056217334917
47.5,81.75771617595188
47.6,81.75301621143826
47.7,81.75579228954183
47.8,81.75075438100542
47.9,81.75356021714458
48.0,81.75588169546198
48.1,81.75554375143916
48.2,81.75293591750605
48.3,81.75293591750605
48.4,81.74377668341185
48.5,81.73836301333954
48.6,81.74110041445093
48.7,81.73867033984764
48.8,81.74353048905422
48.9,81.74369067374718
49.0,81.74628093304342
49.1,81.74304394156565
49.2,81.74516668966083
49.3,81.74273661505754
49.4,81.7401287811244
49.5,81.73542881661078
49.6,81.72995154083279
49.7,81.72768165092245
49.8,81.7257721375779
49.9,81.72076484655618
50.0,81.72029733535514
