K,ACC,,,
40.2,73.76866907,,,
40.3,73.76523971,,,
40.4,73.76097833,,,
40.5,73.76445194,,,
40.6,73.76900529,,,
40.7,73.7717796,,,
40.8,73.77156234,,,
40.9,73.76502928,,,
41,73.76845863,,,
41.1,73.76574737,,,
41.2,73.76231802,,,
41.3,73.76523902,,,
41.4,73.76858474,,,
41.5,73.76163269,,,
41.6,73.76163269,,,
41.7,73.75464036,,,
41.8,73.75202026,,,
41.9,73.75536597,,,
42,73.74556191,,,
42.1,73.75726798,,,
42.2,73.75783938,,,
42.3,73.75783938,,,
42.4,73.74951645,,,
42.5,73.75305794,,,
42.6,73.75627004,,,
42.7,73.75284068,,,
42.8,73.7471425,,,
42.9,73.75644899,,,
43,73.75928635,,,
43.1,73.76212371,,,
43.2,73.75845433,,,
43.3,73.75284266,,,
43.4,73.75305992,,,
43.5,73.75867159,,,
43.6,73.75506526,,,
43.7,73.75145892,,,
43.8,73.73254001,,,
43.9,73.72889339,,,
44,73.72574346,,,
44.1,73.72578503,,,
44.2,73.72004063,,,
44.3,73.71707054,,,
44.4,73.71707054,,,
44.5,73.69255201,,,
44.6,73.69538938,,,
44.7,73.69235623,,,
44.8,73.68958192,,,
44.9,73.68416782,,,
45,73.69035089,,,
45.1,73.68423087,,,
45.2,73.6774558,,,
45.3,73.67094708,,,
45.4,73.67086344,,,
45.5,73.67440493,,,
45.6,73.66844327,,,
45.7,73.66501392,,,
45.8,73.66250023,,,
45.9,73.65966286,,,
46,73.66837736,,,
46.1,73.65898634,,,
46.2,73.66195643,,,
46.3,73.64736678,,,
46.4,73.64356181,,,
46.5,73.63740436,,,
46.6,73.63405865,,,
46.7,73.63702874,,,
46.8,73.62809699,,,
46.9,73.62809699,,,
47,73.62461855,,,
47.1,73.62503753,,,
47.2,73.6246619,,,
47.3,73.60998575,,,
47.4,73.60998575,,,
47.5,73.60063502,,,
47.6,73.59480608,,,
47.7,73.60112189,,,
47.8,73.59971846,,,
47.9,73.5959794,,,
48,73.59851586,,,
48.1,73.59332317,,,
48.2,73.59666888,,,
48.3,73.59005217,,,
48.4,73.59018311,,,
48.5,73.60933197,,,
48.6,73.60636188,,,
48.7,73.60316859,,,
48.8,73.60986001,,,
48.9,73.60702265,,,
49,73.61062898,,,
49.1,73.61045201,,,
49.2,73.6044656,,,
49.3,73.60743569,,,
49.4,73.60706007,,,
49.5,73.60730207,,,
49.6,73.5989632,,,
49.7,73.59969475,,,
49.8,73.6066468,,,
49.9,73.61267151,,,
50,73.61286729,,,
