K,ACC
43.9,84.97862332
44,84.97822177
44.1,84.98524321
44.2,84.98281313
44.3,84.98247519
44.4,84.98004512
44.5,84.97500721
44.6,84.96517993
44.7,84.9751158
44.8,84.96566429
44.9,84.96532634
45,84.95796696
45.1,84.96039703
45.2,84.95244952
45.3,84.94741161
45.4,84.95268372
45.5,84.95759927
45.6,84.95221856
45.7,84.95221856
45.8,84.95749783
45.9,84.95245992
46,84.94990028
46.1,84.944423
46.2,84.944423
46.3,84.94965891
46.4,84.94712024
46.5,84.94677028
46.6,84.94909176
46.7,84.9518976
46.8,84.94714604
46.9,84.93946731
47,84.93714583
47.1,84.93920015
47.2,84.93672671
47.3,84.9389966
47.4,84.93411888
47.5,84.93668335
47.6,84.93436187
47.7,84.93177161
47.8,84.93472224
47.9,84.92896577
48,84.93259715
48.1,84.93259715
48.2,84.93283852
48.3,84.93283852
48.4,84.93062168
48.5,84.92795024
48.6,84.92795024
48.7,84.93075608
48.8,84.92565456
48.9,84.92048709
49,84.91805701
49.1,84.92360025
49.2,84.92117017
49.3,84.92179933
49.4,84.92938631
49.5,84.93448783
49.6,84.93693548
49.7,84.93693548
49.8,84.93467996
49.9,84.93224989
50,84.92708182
