K,ACC,,,,,
29.8,77.85596563,,,,,
29.9,77.84631114,,,,,
30,77.84296979,,,,,
30.1,77.85255334,,,,,
30.2,77.84958156,,,,,
30.3,77.84673372,,,,,
30.4,77.84601794,,,,,
30.5,77.84601794,,,,,
30.6,77.84913904,,,,,
30.7,77.84297523,,,,,
30.8,77.85277904,,,,,
30.9,77.83522712,,,,,
31,77.82463662,,,,,
31.1,77.82485687,,,,,
31.2,77.81477981,,,,,
31.3,77.81158778,,,,,
31.4,77.81158778,,,,,
31.5,77.80831736,,,,,
31.6,77.79866288,,,,,
31.7,77.80967596,,,,,
31.8,77.81571584,,,,,
31.9,77.81613841,,,,,
32,77.81940883,,,,,
32.1,77.82745335,,,,,
32.2,77.82091997,,,,,
32.3,77.85131727,,,,,
32.4,77.84082086,,,,,
32.5,77.84373964,,,,,
32.6,77.84628885,,,,,
32.7,77.85358232,,,,,
32.8,77.84444129,,,,,
32.9,77.84466154,,,,,
33,77.84851957,,,,,
33.1,77.84539847,,,,,
33.2,77.84227737,,,,,
33.3,77.8461354,,,,,
33.4,77.84707142,,,,,
33.5,77.85424964,,,,,
33.6,77.84771626,,,,,
33.7,77.84061098,,,,,
33.8,77.83748988,,,,,
33.9,77.83414853,,,,,
34,77.83756082,,,,,
34.1,77.83713824,,,,,
34.2,77.83067579,,,,,
34.3,77.83379689,,,,,
34.4,77.8272635,,,,,
34.5,77.82550846,,,,,
34.6,77.81528208,,,,,
34.7,77.80775423,,,,,
34.8,77.80775423,,,,,
34.9,77.80463313,,,,,
35,77.80782516,,,,,
35.1,77.80846799,,,,,
35.2,77.80846799,,,,,
35.3,77.81274537,,,,,
35.4,77.8004653,,,,,
35.5,77.78660437,,,,,
35.6,77.81333519,,,,,
35.7,77.81810809,,,,,
35.8,77.80680181,,,,,
35.9,77.80972059,,,,,
36,77.80595666,,,,,
36.1,77.80879705,,,,,
36.2,77.80587827,,,,,
36.3,77.80602759,,,,,
36.4,77.79622379,,,,,
36.5,77.79238893,,,,,
36.6,77.79515839,,,,,
36.7,77.8023346,,,,,
36.8,77.81198909,,,,,
36.9,77.80011091,,,,,
37,77.8066443,,,,,
37.1,77.80983633,,,,,
37.2,77.79577308,,,,,
37.3,77.80493406,,,,,
37.4,77.8021646,,,,,
37.5,77.817528,,,,,
37.6,77.8404559,,,,,
37.7,77.83711455,,,,,
37.8,77.83377319,,,,,
37.9,77.83746619,,,,,
38,77.84471534,,,,,
38.1,77.84471534,,,,,
38.2,77.84855221,,,,,
38.3,77.83781238,,,,,
38.4,77.85167331,,,,,
38.5,77.84100442,,,,,
38.6,77.84434577,,,,,
38.7,77.84869609,,,,,
38.8,77.85515854,,,,,
38.9,77.85253296,,,,,
39,77.84280754,,,,,
39.1,77.85020602,,,,,
39.2,77.83030722,,,,,
39.3,77.83307668,,,,,
39.4,77.83713381,,,,,
39.5,77.84047516,,,,,
39.6,77.84381651,,,,,
39.7,77.85049922,,,,,
39.8,77.85696167,,,,,
39.9,77.85218877,,,,,
40,77.84550607,,,,,
40.1,77.84572632,,,,,
40.2,77.83498649,,,,,
40.3,77.82852404,,,,,
40.4,77.82611871,,,,,
40.5,77.82314694,,,,,
40.6,77.82577453,,,,,
40.7,77.82902178,,,,,
40.8,77.8291711,,,,,
40.9,77.82597907,,,,,
41,77.82560949,,,,,
41.1,77.82895085,,,,,
41.2,77.82248839,,,,,
41.3,77.80600189,,,,,
41.4,77.80266053,,,,,
41.5,77.80585257,,,,,
41.6,77.81295785,,,,,
41.7,77.80379888,,,,,
41.8,77.79711617,,,,,
41.9,77.79043347,,,,,
42,77.78731237,,,,,
42.1,77.79681753,,,,,
42.2,77.78993251,,,,,
42.3,77.79035508,,,,,
42.4,77.79441221,,,,,
42.5,77.78418583,,,,,
42.6,77.773446,,,,,
42.7,77.76270617,,,,,
42.8,77.76923956,,,,,
42.9,77.76866766,,,,,
43,77.76156238,,,,,
43.1,77.75104281,,,,,
43.2,77.75082255,,,,,
43.3,77.75480874,,,,,
43.4,77.75829942,,,,,
43.5,77.76164077,,,,,
43.6,77.76142051,,,,,
